DIS-ID-NAME,DIS-ID,RADIO-ID,FREQUENCY-NAME,FREQUENCY,PTT-ON,PTT-OFF,PTT-DURATION,DAC-SAMPLES,VAD,FILENAME,TRUNCATED?,CONTENT?
"2","13000:2:2",1,"",240800000,00:04:37.498,00:04:38.415,0.916,0.912,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_277.499s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:40.750,00:04:42.425,1.676,1.680,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_280.750s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:43.360,00:04:44.192,0.832,0.832,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_283.361s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:49.821,00:04:50.704,0.884,0.880,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_289.821s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:43.386,00:04:52.641,9.255,9.248,0.822,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_283.387s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:52.878,00:04:56.864,3.985,3.984,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_292.879s.au"),0,1
"3","13000:3:3",1,"",240800000,00:04:57.812,00:04:58.766,0.955,0.960,0.983,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_297.812s.au"),0,1
"2","13000:2:2",1,"",240800000,00:04:59.420,00:05:00.283,0.863,0.864,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_299.421s.au"),0,1
"3","13000:3:3",1,"",240800000,00:05:02.515,00:05:03.970,1.454,1.456,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_302.516s.au"),0,1
"2","13000:2:2",1,"",240800000,00:05:02.528,00:05:04.175,1.647,1.648,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_302.529s.au"),0,1
"3","13000:3:3",1,"",240800000,00:05:15.570,00:05:16.484,0.914,0.912,0.912,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_315.570s.au"),0,1
"3","13000:3:3",1,"",240800000,00:05:21.838,00:05:30.259,8.421,8.416,0.859,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_321.838s.au"),0,1
"2","13000:2:2",1,"",240800000,00:05:31.033,00:05:31.805,0.772,0.768,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_331.034s.au"),0,1
"2","13000:2:2",1,"",240800000,00:05:32.497,00:05:34.558,2.062,2.064,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_332.497s.au"),0,1
"3","13000:3:3",1,"",240800000,00:05:35.308,00:05:36.803,1.495,1.488,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_335.308s.au"),0,1
"2","13000:2:2",1,"",240800000,00:05:40.654,00:05:49.625,8.970,8.976,0.859,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_340.655s.au"),0,1
"3","13000:3:3",1,"",240800000,00:05:59.617,00:06:00.460,0.844,0.848,0.792,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_359.617s.au"),0,1
"2","13000:2:2",1,"",240800000,00:06:03.744,00:06:04.415,0.670,0.672,0.738,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_363.745s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:03.984,00:06:04.595,0.610,0.608,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_363.985s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:08.770,00:06:09.105,0.335,0.336,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_368.771s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:10.162,00:06:11.279,1.117,1.120,1.000,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_370.163s.au"),0,1
"2","13000:2:2",1,"",240800000,00:06:13.375,00:06:14.463,1.088,1.088,0.574,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_373.375s.au"),0,1
"2","13000:2:2",1,"",240800000,00:06:15.265,00:06:16.270,1.006,1.008,0.889,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_375.265s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:17.740,00:06:23.967,6.227,6.224,0.892,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_377.741s.au"),0,1
"2","13000:2:2",1,"",240800000,00:06:25.423,00:06:26.042,0.620,0.624,0.974,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_385.423s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:36.046,00:06:36.766,0.720,0.720,0.733,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_396.047s.au"),0,1
"3","13000:3:3",1,"",240800000,00:06:42.348,00:06:51.045,8.696,8.704,0.623,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_3_3_1_402.349s.au"),0,1
"2","13000:2:2",1,"",240800000,00:06:53.390,00:07:00.816,7.426,7.424,0.825,=HYPERLINK("au_TACT+15Mission1\network_240800000_13000_2_2_1_413.390s.au"),0,1
